,a1CKP_A_vdwHBondDesolvEnergy,a1CKP_A_electrostaticEnergy,a1CKP_A_internalEnergy,a1CKP_A_torsionalFreeEnergy,a1FIN_A_vdwHBondDesolvEnergy,a1FIN_A_electrostaticEnergy,a1FIN_A_internalEnergy,a1FIN_A_torsionalFreeEnergy,a1FQ1_B_vdwHBondDesolvEnergy,a1FQ1_B_electrostaticEnergy,a1FQ1_B_internalEnergy,a1FQ1_B_torsionalFreeEnergy,a1GZ8_A_vdwHBondDesolvEnergy,a1GZ8_A_electrostaticEnergy,a1GZ8_A_internalEnergy,a1GZ8_A_torsionalFreeEnergy,a1HCK_A_vdwHBondDesolvEnergy,a1HCK_A_electrostaticEnergy,a1HCK_A_internalEnergy,a1HCK_A_torsionalFreeEnergy,a1QMZ_C_vdwHBondDesolvEnergy,a1QMZ_C_electrostaticEnergy,a1QMZ_C_internalEnergy,a1QMZ_C_torsionalFreeEnergy,a2C4G_A_vdwHBondDesolvEnergy,a2C4G_A_electrostaticEnergy,a2C4G_A_internalEnergy,a2C4G_A_torsionalFreeEnergy,a2G9X_C_vdwHBondDesolvEnergy,a2G9X_C_electrostaticEnergy,a2G9X_C_internalEnergy,a2G9X_C_torsionalFreeEnergy,a2R3G_A_vdwHBondDesolvEnergy,a2R3G_A_electrostaticEnergy,a2R3G_A_internalEnergy,a2R3G_A_torsionalFreeEnergy,a2W1H_A_vdwHBondDesolvEnergy,a2W1H_A_electrostaticEnergy,a2W1H_A_internalEnergy,a2W1H_A_torsionalFreeEnergy,a3PXQ_A_vdwHBondDesolvEnergy,a3PXQ_A_electrostaticEnergy,a3PXQ_A_internalEnergy,a3PXQ_A_torsionalFreeEnergy,a3PXY_A_vdwHBondDesolvEnergy,a3PXY_A_electrostaticEnergy,a3PXY_A_internalEnergy,a3PXY_A_torsionalFreeEnergy,a3PXZ_A_vdwHBondDesolvEnergy,a3PXZ_A_electrostaticEnergy,a3PXZ_A_internalEnergy,a3PXZ_A_torsionalFreeEnergy,a3QQL_A_vdwHBondDesolvEnergy,a3QQL_A_electrostaticEnergy,a3QQL_A_internalEnergy,a3QQL_A_torsionalFreeEnergy,a3QWJ_A_vdwHBondDesolvEnergy,a3QWJ_A_electrostaticEnergy,a3QWJ_A_internalEnergy,a3QWJ_A_torsionalFreeEnergy,a3QX4_A_vdwHBondDesolvEnergy,a3QX4_A_electrostaticEnergy,a3QX4_A_internalEnergy,a3QX4_A_torsionalFreeEnergy,a3R8U_A_vdwHBondDesolvEnergy,a3R8U_A_electrostaticEnergy,a3R8U_A_internalEnergy,a3R8U_A_torsionalFreeEnergy,a3R9D_A_vdwHBondDesolvEnergy,a3R9D_A_electrostaticEnergy,a3R9D_A_internalEnergy,a3R9D_A_torsionalFreeEnergy,a3RJC_A_vdwHBondDesolvEnergy,a3RJC_A_electrostaticEnergy,a3RJC_A_internalEnergy,a3RJC_A_torsionalFreeEnergy,a3RK5_A_vdwHBondDesolvEnergy,a3RK5_A_electrostaticEnergy,a3RK5_A_internalEnergy,a3RK5_A_torsionalFreeEnergy,a3RZB_A_vdwHBondDesolvEnergy,a3RZB_A_electrostaticEnergy,a3RZB_A_internalEnergy,a3RZB_A_torsionalFreeEnergy,a3TIY_A_vdwHBondDesolvEnergy,a3TIY_A_electrostaticEnergy,a3TIY_A_internalEnergy,a3TIY_A_torsionalFreeEnergy,a3TIZ_A_vdwHBondDesolvEnergy,a3TIZ_A_electrostaticEnergy,a3TIZ_A_internalEnergy,a3TIZ_A_torsionalFreeEnergy,a4ERW_A_vdwHBondDesolvEnergy,a4ERW_A_electrostaticEnergy,a4ERW_A_internalEnergy,a4ERW_A_torsionalFreeEnergy,a5A14_A_vdwHBondDesolvEnergy,a5A14_A_electrostaticEnergy,a5A14_A_internalEnergy,a5A14_A_torsionalFreeEnergy,a5JQ8_A_vdwHBondDesolvEnergy,a5JQ8_A_electrostaticEnergy,a5JQ8_A_internalEnergy,a5JQ8_A_torsionalFreeEnergy,MOLWEIGHT,ALOGP,PSA,HBA,HBD,RTB,AROMATIC_RINGS,HEAVY_ATOMS,deltaG
CHEMBL1076721_ZINC000049525584,-9.72,-0.05,-0.66,1.19,-9.89,0.1,-0.66,1.19,-9.93,-0.04,-0.65,1.19,-11.02,0.12,-0.66,1.19,-10.16,-0.04,-0.58,1.19,-10.99,-0.12,-0.49,1.19,-10.22,-0.03,-0.62,1.19,-10.34,0,-0.51,1.19,-11.44,0.05,-0.51,1.19,-10.01,0.11,-0.49,1.19,-10.2,0.07,-0.6,1.19,-10.72,0.24,-0.47,1.19,-10.35,-0.27,-0.47,1.19,-10.35,0.08,-0.65,1.19,-10.58,0.35,-0.66,1.19,-10.56,0.31,-0.63,1.19,-11.06,-0.08,-0.62,1.19,-9.84,-0.39,-0.64,1.19,-10.17,-0.06,-0.66,1.19,-10.42,0.03,-0.67,1.19,-10.39,0.17,-0.54,1.19,-9.68,0.02,-0.46,1.19,-10.52,0.47,-0.47,1.19,-10.21,0.07,-0.61,1.19,-10.77,-0.11,-0.43,1.19,-9.87,0.01,-0.64,1.19,295.3,1.55,87.97,6,2,4,2,22,-9.826999272
CHEMBL1080902_ZINC000049033769,-10.45,0.39,-1.07,1.49,-9.89,-0.39,-1.28,1.49,-10.34,0.01,-1.24,1.49,-10.43,-0.43,-0.87,1.49,-9.72,-0.42,-1.03,1.49,-11.31,-0.18,-1.27,1.49,-10.28,-0.04,-1,1.49,-10.97,-0.07,-1.32,1.49,-11.62,-0.07,-0.74,1.49,-9.55,-0.69,-1.21,1.49,-10.42,-0.03,-0.64,1.49,-11.09,0.19,-0.69,1.49,-10.74,-0.35,-1.2,1.49,-10.34,-0.21,-1.3,1.49,-11.12,0.45,-1.03,1.49,-11.03,0.42,-0.97,1.49,-11.17,-0.08,-1.24,1.49,-9.95,-0.62,-0.75,1.49,-10,-0.66,-0.76,1.49,-10.7,0.04,-0.9,1.49,-9.91,-0.65,-0.86,1.49,-9.7,0.07,-1.05,1.49,-10.67,-0.5,-0.87,1.49,-10.47,-0.04,-0.75,1.49,-10.3,-0.55,-0.84,1.49,-10.75,0.55,-0.79,1.49,324.33,2.68,84.31,6,2,5,2,24,-9.574313982
CHEMBL1083786_ZINC000034105115,-11.18,0.23,-0.38,1.19,-11.67,0.18,-0.75,1.19,-10.11,0.09,-0.87,1.19,-12.04,0.59,-0.91,1.19,-9.81,-0.15,-0.94,1.19,-10.6,0.11,-0.75,1.19,-11.2,0.3,-0.52,1.19,-12.22,0.22,-0.42,1.19,-12.71,0.61,-1,1.19,-11.19,0.06,-0.23,1.19,-10.25,-0.14,-0.44,1.19,-11.14,0.09,-1.04,1.19,-10.63,-0.1,-0.83,1.19,-10.61,0.19,-0.88,1.19,-10.43,-0.21,-0.96,1.19,-10.21,-0.09,-0.86,1.19,-11.59,0.55,-1.02,1.19,-12.3,0.32,-0.53,1.19,-12.71,0.29,-0.36,1.19,-12.35,0.28,-0.46,1.19,-11.2,-0.48,-0.36,1.19,-11.16,0.25,-0.11,1.19,-11.62,0.14,-0.66,1.19,-11.73,0.25,-0.61,1.19,-11.43,-0.04,-0.88,1.19,-10.28,-1.05,-0.73,1.19,408.52,2.74,102.48,6,1,4,3,29,-8.677510472
CHEMBL1084630_ZINC000003950136,-11.62,0.22,-1.01,1.79,-11.24,0.32,-0.51,1.79,-11.88,0.4,-0.42,1.79,-11.96,0.12,-0.43,1.79,-10.5,0.12,-1.01,1.79,-12.03,0.4,-0.54,1.79,-11.2,0.14,-1.12,1.79,-11.96,0.28,-0.9,1.79,-13.15,0.41,-1.05,1.79,-11.8,0.08,-1.06,1.79,-11.23,-0.09,-0.42,1.79,-11.87,-0.46,-0.86,1.79,-11.47,-0.27,-0.42,1.79,-11.44,0.32,-1.02,1.79,-11.49,-0.26,-0.98,1.79,-11.56,-0.1,-0.99,1.79,-12.19,0.21,-0.7,1.79,-12.22,0.35,-0.65,1.79,-12.53,0.3,-0.77,1.79,-12.6,0.37,-0.78,1.79,-11.25,-0.57,-0.8,1.79,-10.98,-0.27,-0.98,1.79,-12,0.18,-1.07,1.79,-11.62,0.24,-0.77,1.79,-11.37,0.06,-0.92,1.79,-10.69,-0.42,-0.9,1.79,396.51,3.65,103.44,7,2,6,3,28,-9.299921096
CHEMBL1241473_ZINC000003986637,-7.47,-2.57,-3.41,2.68,-8.73,-1.77,-1.89,2.68,-8.54,-2.31,-2.32,2.68,-10.58,-1.2,-1.13,2.68,-9.72,-1.34,-2,2.68,-9.64,-1.88,-1.8,2.68,-8.78,-1.83,-2.54,2.68,-9.34,-0.64,-2.81,2.68,-10.37,-1.76,-1.36,2.68,-10.26,-0.1,-2.25,2.68,-9.08,-2.45,-2.82,2.68,-9.94,-0.18,-1.82,2.68,-9.9,-1.7,-1.46,2.68,-9.2,-1.32,-2.79,2.68,-9.26,-1.3,-1.45,2.68,-8.91,-1.64,-1.37,2.68,-10.45,-1.61,-1.54,2.68,-10.03,-1.01,-1.79,2.68,-9.03,-1.76,-1.56,2.68,-9.88,-0.66,-3.39,2.68,-12.35,-0.46,-2.74,2.68,-8.49,-2.08,-2.98,2.68,-10.35,-1,-1.98,2.68,-8.64,-1.81,-2.4,2.68,-9.6,-1.53,-2,2.68,-9.86,-0.86,-2.15,2.68,440.41,3.06,166.43,10,3,9,3,32,-10.63463821
CHEMBL1562756_ZINC000100640971,-7,0.02,0,0,-7.57,0.07,0,0,-7.85,0.04,0,0,-8.93,-0.11,0,0,-6.46,-0.32,0,0,-7.96,0.06,0,0,-6.99,0.09,0,0,-7.73,0.04,0,0,-8.94,-0.08,0,0,-8.16,-0.06,0,0,-7.5,-0.01,0,0,-7.69,-0.03,0,0,-7.69,0.04,0,0,-7.71,0.06,0,0,-7.14,-0.07,0,0,-7.18,-0.06,0,0,-8.3,-0.15,0,0,-7.71,0.07,0,0,-7.85,-0.01,0,0,-7.8,-0.02,0,0,-8.11,-0.04,0,0,-6.97,-0.01,0,0,-7.16,0.02,0,0,-7.81,-0.04,0,0,-8.41,-0.07,0,0,-7.2,0.26,0,0,279.79,3.57,57.89,3,1,0,1,18,-7.08978573
CHEMBL1682553_ZINC000063298288,-9.96,-0.02,-0.65,0.89,-11.07,0.21,-0.58,0.89,-10.79,0.31,-0.63,0.89,-10.31,0.07,-0.56,0.89,-10.02,0.22,-0.67,0.89,-11.8,0.31,-0.69,0.89,-10.48,0.2,-0.63,0.89,-10.44,0.12,-0.58,0.89,-10.64,0.33,-0.61,0.89,-10.55,-0.13,-0.44,0.89,-9.94,0.07,-0.65,0.89,-10.63,-0.07,-0.4,0.89,-10.28,-0.12,-0.41,0.89,-10.11,0.11,-0.56,0.89,-9.85,-0.01,-0.6,0.89,-9.59,0.09,-0.52,0.89,-10.12,-0.01,-0.48,0.89,-12.05,0.32,-0.71,0.89,-11.36,0.22,-0.71,0.89,-11.12,0.33,-0.74,0.89,-10.74,-0.11,-0.58,0.89,-10.42,0.14,-0.64,0.89,-10.41,0.16,-0.66,0.89,-11.32,0.24,-0.63,0.89,-10.79,0.04,-0.39,0.89,-10.73,-0.11,-0.26,0.89,292.34,2.85,70.89,4,2,3,4,22,-8.998570587
CHEMBL1725279_ZINC000100706870,-8.77,-0.06,0.06,0.3,-8.67,-0.55,0.05,0.3,-9.26,-0.08,0.05,0.3,-10.34,0.04,0.05,0.3,-8.49,-0.08,0.07,0.3,-9.25,-0.44,0.05,0.3,-9.32,-0.08,0.07,0.3,-8.83,-0.39,0.06,0.3,-10.1,-0.07,0.05,0.3,-8.72,0.13,0.06,0.3,-8.06,-0.35,0.05,0.3,-8.86,0.06,0.06,0.3,-9.39,0.09,0.06,0.3,-9.08,0.17,0.05,0.3,-8.62,-0.03,0.06,0.3,-8.68,-0.01,0.06,0.3,-10.11,-0.1,0.05,0.3,-10.58,-0.09,0.05,0.3,-9.65,0.07,0.06,0.3,-9.45,0.03,0.06,0.3,-9.74,-0.04,0.06,0.3,-9.61,0.02,0.06,0.3,-8.78,0.12,0.06,0.3,-10.8,-0.09,0.07,0.3,-9.55,-0.09,0.05,0.3,-8.6,0.02,0.06,0.3,220.23,3.94,44.95,3,1,0,3,17,-9.680304968
CHEMBL184510_ZINC000013582603,-11.38,0.11,-0.07,0.89,-11.72,-0.04,-0.18,0.89,-11.73,0.29,-0.41,0.89,-11.93,0.64,-0.54,0.89,-10.7,-0.46,-0.46,0.89,-13.15,0.06,-0.24,0.89,-11.89,-0.11,-0.37,0.89,-11.88,-0.09,-0.61,0.89,-12.2,0.63,-0.51,0.89,-11.14,-0.35,-0.01,0.89,-11.35,-0.1,-0.2,0.89,-11.44,-0.21,-0.39,0.89,-11.91,-0.44,0.29,0.89,-11.18,0.32,-0.48,0.89,-11.19,0.35,-0.16,0.89,-10.82,0,-0.58,0.89,-12.15,0.46,-0.53,0.89,-13.21,0.52,-0.41,0.89,-12.06,0.22,-0.28,0.89,-12.01,0.14,-0.14,0.89,-12.1,-0.53,-0.44,0.89,-11.02,-0.07,-0.34,0.89,-11.43,-0.15,-0.5,0.89,-12.71,0.47,-0.5,0.89,-11.91,0.25,-0.49,0.89,-11.41,-0.13,-0.58,0.89,324.29,3.24,68,5,1,3,4,24,-12.27078243
CHEMBL185310_ZINC000014945953,-10.74,-0.13,-0.72,0.89,-10.92,0.44,-0.61,0.89,-11.33,0.32,-0.28,0.89,-11.17,0.44,-0.6,0.89,-10.34,-0.07,-0.65,0.89,-11.66,0.22,-0.04,0.89,-11.21,0.16,-0.43,0.89,-11.36,0.27,-0.38,0.89,-11.88,0.45,-0.67,0.89,-10.83,-0.33,0.14,0.89,-11.05,0.02,-0.16,0.89,-11.05,-0.23,-0.46,0.89,-11.41,-0.24,-0.18,0.89,-11,0.13,-0.46,0.89,-11.3,0.09,-0.76,0.89,-11.36,0.17,-0.75,0.89,-10.9,-0.03,-0.56,0.89,-12.23,0.39,-0.21,0.89,-12.23,0.29,-0.22,0.89,-11.34,0.27,-0.55,0.89,-11.8,-0.26,-0.56,0.89,-11.03,0.23,-0.76,0.89,-11.53,0.13,-0.65,0.89,-12.1,0.37,-0.54,0.89,-11.92,0.03,-0.54,0.89,-11.22,0.09,-0.7,0.89,321.35,4.66,77.39,4,2,3,3,24,-9.606328584
